LastName, FirstName, tid, RMPScore, RMPNumRatings
Stacy, Catherine, 836386, 3.8, 14
Moore, Barbara, 996994, 2.7, 14
Crews, Kelley, 1152242, 3.4, 14
Takata, Steve, 1488407, 3.7, 14
Leacock, Stefanie, 1866311, 4.1, 14
Benzrihem, Robin, 1881400, 3.4, 14
Kang, Moon-Jin, 1959409, 2.3, 14
Pope, Mark, 2001843, 3.8, 14
Tombari, Martin, 2096275, 4.2, 14
Wheeler, Craig, 685719, 4.3, 14
Morris, Matt, 1342769, 4.4, 14
Cline, Alan, 1152847, 2.8, 14
Torres-Verdin, Carlos, 1460170, 3.9, 14
Loescher, Kristie, 2027164, 3.5, 14
Fridman, Daniel, 1893138, 3.5, 14
Koch, Hans, 1244263, 2.2, 14
Dima, Shamoun, 2184855, 2.4, 14
Puperi, Dan, 2210143, 4.5, 14
Erskine, James, 2243602, 1.0, 14
Woodard, Helena, 613395, 4.2, 14
Sonnenberg, Stephen, 2292429, 4.1, 14
Cuevas, Alfonso, 2182321, 2.9, 14
Huq, Enamul, 2077006, 2.6, 14
Khoo, Huoy, 2209578, 4.2, 14
Gabbi, Alessandro, 2125585, 3.8, 14
Tian, Xiaochuan, 2363038, 2.5, 14
McGuire, John, 2293013, 3.8, 14
Linder, Randal, 694602, 2.7, 14
Drumwright, Minette, 1627506, 4.1, 14
Gonzalez, Laura, 2251241, 3.1, 14
Bunting, Mark, 1715929, 4.8, 14
Poenie, Martin, 1328509, 2.5, 14
Yu, Ed, 1485270, 3.8, 14
Endl, Michael, 2366875, 4.6, 14
Dabbs, Kathryn, 1788472, 4.0, 14
Fischler, Willy, 1564235, 3.7, 14
Dever, Josh, r-32179, 4.0, 13
Buchanan, Bruce, 106855, 4.0, 13
Kitt, Karrol A., 261556, 2.5, 13
Paal, Beatrix, 808910, 1.4, 13
Dickerson, Robert, 1962809, 3.9, 13
Clement, Nathan, 1978192, 3.0, 13
Boylan-Kolchin, Mike, 2140393, 3.7, 13
Robbins, Paul, 2225789, 4.1, 13
McZeal, Corey, 2246018, 4.8, 13
Polk, Molly, 2295435, 3.8, 13
Khaledi, Hamed, 2407167, 3.1, 13
Daley, Nancy, 1527532, 3.9, 13
Frizzi, Adria, 1683130, 3.8, 13
Bos, Pascale, 404774, 4.0, 13
Delville, Yvon, 131054, 3.0, 13
Rao, Ramesh, 898053, 2.7, 13
Keeler, Ward, 239712, 4.5, 13
Young, Michael, 1930616, 4.3, 13
Radin, Charles, 1035409, 1.6, 13
Clarke, John, 826345, 3.8, 13
Markman, Arthur, 461367, 4.3, 13
Boyarchenko, Svetlana, 1436293, 2.7, 13
Lewis, Debra, 2246015, 3.7, 13
Scala, Elizabeth, 658811, 4.0, 13
Alper, Hal, 2263697, 3.8, 13
Contreras, Lydia, 2083409, 3.2, 13
McCoy-Bae, Alice, 2508111, 4.0, 13
Angel, Jacqueline, 2284930, 3.2, 13
Rodriguez, Nestor, 1613768, 4.5, 13
Joglekar, Vijay, 2321062, 2.5, 13
Israel, Arie, 2178008, 4.3, 13
Kelm, Orlando, 1724306, 4.8, 13
Dogramaci, Sinan, 1712548, 4.2, 13
Garcia, Patricia, 2269976, 4.5, 13
Meakin, Christopher, r-23974, 4.2, 13
Murphy, Melissa, 2141253, 4.6, 13
Carroll, Robert, 2257452, 3.1, 13
Swearingen, William, 2181287, 4.4, 13
Underwood, Gary, r-10743, 2.2, 12
Sager, Larry, 178405, 3.0, 12
Ayres, James, 589683, 1.8, 12
Rich, Elaine, 670516, 3.9, 12
Brinks, Daniel, 729646, 4.4, 12
Vanderheijden, Vincent, 961909, 2.9, 12
Hoelscher, Steven, 1249120, 3.5, 12
Kormendy, John, 1350679, 3.2, 12
Lloyd, Douglas, 1399505, 1.4, 12
Brand, Jerry, 1584078, 3.3, 12
Hong, Younghun, 1907095, 2.7, 12
Ros-Oton, Xavier, 1980773, 3.6, 12
Wen, Wen, 2011147, 4.1, 12
Hankinson, Robert, 1619947, 1.5, 12
Cox , James, 2057761, 3.8, 12
Porter, Bruce, 1437059, 3.9, 12
Pritchett, Katie, 2077088, 3.8, 12
Del Castillo, Lina, 1860239, 4.2, 12
Davies, Penelope, 239077, 4.5, 12
Dull, Robert, 714890, 3.0, 12
Delozanne, Arturo, 1587140, 4.5, 12
Koons, Robert, 1935075, 4.8, 12
Latimer, Lara, 2059126, 4.5, 12
Rollins, Joel, 2044114, 3.3, 12
Runggaldier, Astrid, 2063927, 3.8, 12
Barrett, Michael, 1817023, 2.1, 12
Hellmer, Jeff, 2412539, 4.2, 12
Linder, Craig, 2325436, 2.6, 12
Longaker, Mark, 1630958, 4.9, 12
